date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:43	185/185	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20Sep%202024%2020:09:39%20GMT	https://startours.co.uk/robots.txt		(from )
02:09:44	97095/97095	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:09:39%20GMT	https://startours.co.uk/	D:/demo/startours.co.uk/index.html	(from )
02:09:44	86929/86929	---M-Z	200	added ('OK')	application/javascript	etag:%22a1ca999d2a8d91:0%22	https://startours.co.uk/scripts/vendor/jquery-3.3.1.min.js	D:/demo/startours.co.uk/scripts/vendor/jquery-3.3.1.min.js	(from https://startours.co.uk/)
02:09:45	4416/4416	---M-Z	200	added ('OK')	application/javascript	etag:%228e43b761dcda1:0%22	https://startours.co.uk/scripts/vendor/jqueryBase64.js	D:/demo/startours.co.uk/scripts/vendor/jqueryBase64.js	(from https://startours.co.uk/)
02:09:45	439678/439678	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202024%2020:09:40%20GMT	https://startours.co.uk/virtual/bundles/all-styles?v=dpfSDxy6mjQv0gkcpfVC6PabGV_49WNmzkhxFxgZ0Bo1	D:/demo/startours.co.uk/virtual/bundles/all-stylesf90e.css	(from https://startours.co.uk/)
02:09:45	11755/11755	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202024%2020:09:41%20GMT	https://use.typekit.net/mzb3oky.css	D:/demo/use.typekit.net/mzb3oky.css	(from https://startours.co.uk/)
02:09:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Sep%202024%2020:09:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/demo/www.googletagmanager.com/gtm.45445.delayed	(from https://startours.co.uk/)
02:09:46	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Sep%202024%2020:09:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/demo/connect.facebook.net/en_US/fbevents.js	(from https://startours.co.uk/)
02:09:46	940/940	---M--	200	added ('OK')	image/png	etag:%22bb9b9d779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-57x57.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-57x57.png	(from https://startours.co.uk/)
02:09:47	974/974	---M--	200	added ('OK')	image/png	etag:%22ebd369779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-60x60.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-60x60.png	(from https://startours.co.uk/)
02:09:47	1151/1151	---M--	200	added ('OK')	image/png	etag:%22678298779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-72x72.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-72x72.png	(from https://startours.co.uk/)
02:09:48	1154/1154	---M--	200	added ('OK')	image/png	etag:%22c109c779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-76x76.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-76x76.png	(from https://startours.co.uk/)
02:09:48	1582/1582	---M--	200	added ('OK')	image/png	etag:%22ab277a779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-114x114.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-114x114.png	(from https://startours.co.uk/)
02:09:49	1698/1698	---M--	200	added ('OK')	image/png	etag:%2277d074779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-120x120.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-120x120.png	(from https://startours.co.uk/)
02:09:50	2008/2008	---M--	200	added ('OK')	image/png	etag:%22e7c58d779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-144x144.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-144x144.png	(from https://startours.co.uk/)
02:09:50	2070/2070	---M--	200	added ('OK')	image/png	etag:%22f3b77d779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-152x152.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-152x152.png	(from https://startours.co.uk/)
02:09:50	2434/2434	---M--	200	added ('OK')	image/png	etag:%22a9e160779a1cda1:0%22	https://startours.co.uk/images/favicon/apple-touch-icon-180x180.png	D:/demo/startours.co.uk/images/favicon/apple-touch-icon-180x180.png	(from https://startours.co.uk/)
02:09:51	645/645	---M--	200	added ('OK')	image/png	etag:%22c44193779a1cda1:0%22	https://startours.co.uk/images/favicon/favicon-32x32.png	D:/demo/startours.co.uk/images/favicon/favicon-32x32.png	(from https://startours.co.uk/)
02:09:51	3048/3048	---M--	200	added ('OK')	image/png	etag:%224dfb94779a1cda1:0%22	https://startours.co.uk/images/favicon/coast-228x228.png	D:/demo/startours.co.uk/images/favicon/coast-228x228.png	(from https://startours.co.uk/)
02:09:52	2566/2566	---M--	200	added ('OK')	image/png	etag:%22b7305f779a1cda1:0%22	https://startours.co.uk/images/favicon/android-chrome-192x192.png	D:/demo/startours.co.uk/images/favicon/android-chrome-192x192.png	(from https://startours.co.uk/)
02:09:52	441/441	---M--	200	added ('OK')	image/png	etag:%22b29964779a1cda1:0%22	https://startours.co.uk/images/favicon/favicon-16x16.png	D:/demo/startours.co.uk/images/favicon/favicon-16x16.png	(from https://startours.co.uk/)
02:09:53	1287/1287	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22ddff70779a1cda1:0%22	https://startours.co.uk/images/favicon/site.webmanifest	D:/demo/startours.co.uk/images/favicon/site.webmanifest	(from https://startours.co.uk/)
02:09:53	1353/1353	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bdcf6b779a1cda1:0%22	https://startours.co.uk/images/favicon/safari-pinned-tab.svg	D:/demo/startours.co.uk/images/favicon/safari-pinned-tab.svg	(from https://startours.co.uk/)
02:09:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Sep%202024%2020:09:49%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	D:/demo/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.16.delayed	(from https://startours.co.uk/)
02:09:54	170/170	---MCZ	200	added ('OK')	application/json	etag:W/%22cca82779a1cda1:0%22	https://startours.co.uk/images/favicon/yandex-browser-manifest.json	D:/demo/startours.co.uk/images/favicon/yandex-browser-manifest.json	(from https://startours.co.uk/)
02:09:54	23675/23675	---M-Z	200	added ('OK')	application/x-javascript	etag:%229e33f2a9254bd607162e09d0e2e08b05%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	D:/demo/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://startours.co.uk/)
02:09:54	31013/31013	---M--	200	added ('OK')	image/png	etag:%2222434d5d2e0d91:0%22	https://startours.co.uk/Content/Logos/Star_Tours_Logo_White.png	D:/demo/startours.co.uk/Content/Logos/Star_Tours_Logo_White.png	(from https://startours.co.uk/)
